ANZSCO,Occupation,State,State2
254417,Registered Nurse (Disability And Rehabilitation),SA,South Australia
254417,Registered Nurse (Disability and Rehabilitation),VIC,Victoria
254418,Registered Nurse (Medical),SA,South Australia
254418,Registered Nurse (Medical),VIC,Victoria
254421,Registered Nurse (Medical Practice),SA,South Australia
254421,Registered Nurse (Medical Practice),VIC,Victoria
254422,Registered Nurse (Mental Health),SA,South Australia
254422,Registered Nurse (Mental Health),VIC,Victoria
254423,Registered Nurse (Perioperative),SA,South Australia
254423,Registered Nurse (Perioperative),VIC,Victoria
254424,Registered Nurse (Surgical),SA,South Australia
254424,Registered Nurse (Surgical),VIC,Victoria
254425,Registered Nurse (Paediatric),SA,South Australia
254499,Registered Nurse nec,SA,South Australia
254499,Registered Nurses nec,VIC,Victoria
261111,ICT Business Analyst,SA,South Australia
261111,ICT Business Analyst,VIC,Victoria
261112,Systems Analyst,SA,South Australia
261311,Analyst Programmer,SA,South Australia
261312,Developer Programmer,SA,South Australia
261313,Software Engineer,SA,South Australia
261314,Software Tester,SA,South Australia
261399,Software and Applications Programmers nec,SA,South Australia
262111,Database Administrator,SA,South Australia
262112,ICT Security Specialist,SA,South Australia
262113,Systems Administrator,SA,South Australia
263111,Computer Network and Systems Engineer,SA,South Australia
263112,Network Administrator,SA,South Australia
263113,Network Analyst,SA,South Australia
263211,ICT Quality Assurance Engineer,SA,South Australia
263212,ICT Support Engineer,SA,South Australia
263213,ICT Systems Test Engineer,SA,South Australia
263299,ICT Support and Test Engineers nec,SA,South Australia
263311,Telecommunications Engineer,SA,South Australia
263312,Telecommunications Network Engineer,SA,South Australia
271299,Judicial and Other Legal Professionals nec,SA,South Australia
272311,Clinical Psychologist,VIC,Victoria
272511,Social Worker,VIC,Victoria
312112,Building Associate,VIC,Victoria
312211,Civil Engineering Draftsperson,VIC,Victoria
312311,Electrical Engineering Draftsperson,SA,South Australia
312311,Electrical Engineering Draftsperson,VIC,Victoria
312312,Electrical Engineering Technician,SA,South Australia
312412,Electronic Engineering Technician,SA,South Australia
312511,Mechanical Engineering Draftsperson,SA,South Australia
312511,Mechanical Engineering Draftsperson,VIC,Victoria
312911,Maintenance Planner,SA,South Australia
312912,Metallurgical or Materials Technician,SA,South Australia
312999,Building and Engineering Technicians nec,SA,South Australia
321111,Automotive Electrician,SA,South Australia
321111,Automotive Electrician,VIC,Victoria
321211,Motor Mechanic (General),SA,South Australia
321212,Diesel Motor Mechanic,SA,South Australia
323211,Fitter (General),SA,South Australia
323212,Fitter and Turner,SA,South Australia
323213,Fitter-Welder,SA,South Australia
323214,Metal Machinist (First Class),SA,South Australia
323299,Metal Fitters and Machinists nec,SA,South Australia
324111,Panelbeater,SA,South Australia
331111,Bricklayer,SA,South Australia
331112,Stonemason,SA,South Australia
333311,Roof Tiler,SA,South Australia
334111,Plumber (General),SA,South Australia
334112,Airconditioning and Mechanical Services Plumber,SA,South Australia
334113,Drainer,SA,South Australia
334114,Gasfitter,SA,South Australia
334115,Roof Plumber,SA,South Australia
341111,Electrician (General),SA,South Australia
341112,Electrician (Special Class),SA,South Australia
342111,Airconditioning and Refrigeration Mechanic,SA,South Australia
342211,Electrical Linesworker,SA,South Australia
342311,Business Machine Mechanic,SA,South Australia
342313,Electronic Equipment Trades Worker,SA,South Australia
351311,Chef,SA,South Australia
351311,Chef,VIC,Victoria
351411,Cook,SA,South Australia
361311,Veterinary Nurse,SA,South Australia
394111,Cabinetmaker,SA,South Australia
399411,Jeweller,SA,South Australia
411411,Enrolled Nurse,SA,South Australia
411412,Mothercraft Nurse,SA,South Australia
134111 ,Child Care Centre Manager ,VIC,Victoria
224213 ,Health Information Manager ,VIC,Victoria
234914 ,Physicist (Medical only) ,VIC,Victoria
241213 ,Primary School Teacher ,VIC,Victoria
241411 ,Secondary School Teacher ,VIC,Victoria
242211 ,Vocational Education Teacher ,VIC,Victoria
251213  ,Nuclear Medicine Technologist,VIC,Victoria
261112 ,Systems Analyst  ,VIC,Victoria
261311 ,Analyst Programmer ,VIC,Victoria
261312 ,Developer Programmer ,VIC,Victoria
261313 ,Software Engineer ,VIC,Victoria
261314 ,Software Tester,VIC,Victoria
261399 ,Software and Applications Programmers nec ,VIC,Victoria
262111 ,Database Administrator ,VIC,Victoria
262112 ,ICT Security Specialist,VIC,Victoria
263111 ,Computer Network and Systems Engineer ,VIC,Victoria
272412 ,Interpreter ,VIC,Victoria
321211 ,Motor Mechanic (General) ,VIC,Victoria
322211 ,Sheetmetal Trades Worker ,VIC,Victoria
322311 ,Metal Fabricator ,VIC,Victoria
322313 ,Welder (First Class) ,VIC,Victoria
323214 ,Metal Machinist (First Class) ,VIC,Victoria
324111 ,Panelbeater ,VIC,Victoria
324311 ,Vehicle Painter ,VIC,Victoria
334112 ,Airconditioning and Mechanical Services Plumber ,VIC,Victoria
334113 ,Drainer ,VIC,Victoria
334114 ,Gasfitter ,VIC,Victoria
334115 ,Roof Plumber ,VIC,Victoria
342111 ,Airconditioning and Refrigeration Mechanic,VIC,Victoria
342211 ,Electrical Linesworker ,VIC,Victoria
342313 ,Electronic Equipment Trades Worker ,VIC,Victoria
342413 ,Telecommunications Linesworker ,VIC,Victoria
342414 ,Telecommunications Technician ,VIC,Victoria
351111 ,Baker ,VIC,Victoria
351112 ,Pastrycook ,VIC,Victoria
351411 ,Cook ,VIC,Victoria
394111 ,Cabinetmaker ,VIC,Victoria
